latitude,longitude,corridor,police_station,event_cause,is_obstruction,priority
13.0400041,77.5180991,Tumkur Road,Peenya,vehicle_breakdown,1,High
12.9218755,77.6451585,ORR East 1,HSR Layout,vehicle_breakdown,1,High
12.955622,77.5857083,Non-corridor,Wilson Garden,others,1,Low
13.0061469,77.5794348,Non-corridor,Sadashivanagar,tree_fall,0,Low
12.95398,77.5852333,Non-corridor,Wilson Garden,vehicle_breakdown,1,Low
13.0664854,77.5998755,Non-corridor,Hebbala,accident,0,Low
12.9328703,77.4879814,Non-corridor,Kengeri,vehicle_breakdown,1,Low
12.973175,77.6003961,Non-corridor,Cubbon Park,others,1,Low
12.97883573,77.59953728,CBD 2,Cubbon Park,public_event,0,High
13.0373543,77.6540442,Non-corridor,Hennuru,vehicle_breakdown,1,Low
13.0008457,77.6813712,ORR East 2,K.R. Pura,water_logging,0,High
12.94457,77.5274017,ORR West 1,Byatarayanapura,vehicle_breakdown,1,High
12.9995223,77.6827499,ORR East 2,Mahadevapura,water_logging,0,High
13.0418933,77.594705,ORR North 1,Hebbala,others,1,High
12.975285,77.6256902,Old Madras Road,Halasur,pot_holes,0,High
13.0633917,77.5933483,Bellary Road 2,Kodigehalli,others,1,High
13.063425,77.5933,Bellary Road 2,Kodigehalli,others,1,High
13.0254527,77.6417388,ORR North 1,Hennuru,others,1,High
12.9233517,77.5904883,Non-corridor,Jayanagara,tree_fall,0,Low
13.0001393,77.5840594,Bellary Road 1,Sadashivanagar,vehicle_breakdown,1,High
12.9071221,77.6286395,Hosur Road,Madiwala,vehicle_breakdown,1,High
12.927375,77.5806883,Non-corridor,Jayanagara,tree_fall,0,Low
12.9169074,77.5950955,Non-corridor,Jayanagara,pot_holes,0,Low
12.9667047,77.6615983,,Jeevanbheemanagar,pot_holes,0,Low
12.8966387,77.7202071,Non-corridor,Whitefield,water_logging,0,Low
12.9463911,77.597326,Non-corridor,Wilson Garden,tree_fall,0,Low
12.9856042,77.5977438,,Shivajinagar,pot_holes,0,High
12.9077383,77.6005709,Bannerghata Road,Mico Layout,vehicle_breakdown,1,High
12.9635109,77.6642122,,HAL Old Airport,pot_holes,0,Low
12.9667073,77.6615616,,Jeevanbheemanagar,pot_holes,0,Low
12.9666867,77.6616478,Non-corridor,Jeevanbheemanagar,pot_holes,0,Low
12.907814,77.6006561,Bannerghata Road,Mico Layout,vehicle_breakdown,1,High
12.8955737,77.5993711,Bannerghata Road,J.P. Nagar,vehicle_breakdown,1,High
12.92757,77.5832051,Non-corridor,Jayanagara,tree_fall,0,Low
13.044697,77.5828546,ORR North 2,Kodigehalli,congestion,1,High
12.9666885,77.6616396,,Jeevanbheemanagar,pot_holes,0,Low
12.9789228,77.5644032,Magadi Road,Magadi Road,vehicle_breakdown,1,High
12.8636494,77.6725849,Non-corridor,Electronic City,accident,0,Low
12.9219483,77.6002467,Bannerghata Road,Mico Layout,vehicle_breakdown,1,High
12.9666597,77.661556,,Jeevanbheemanagar,pot_holes,0,Low
12.946469,77.6986754,ORR East 1,HAL Old Airport,construction,0,High
12.9936273,77.5844677,Bellary Road 1,High ground,others,1,High
12.9465079,77.6986339,ORR East 1,HAL Old Airport,vehicle_breakdown,1,High
13.0467058,77.5036495,Non-corridor,Chikkabanavara,vehicle_breakdown,1,Low
13.0166142,77.5054464,Non-corridor,Peenya,vehicle_breakdown,1,Low
13.0085677,77.6131497,Non-corridor,K.G. Halli,construction,0,Low
13.0309717,77.5364661,Tumkur Road,Yeshwanthpura,vehicle_breakdown,1,High
13.0262806,77.5442344,Tumkur Road,Yeshwanthpura,others,1,High
12.9938639,77.5844374,Bellary Road 1,High ground,tree_fall,0,High
12.9188682,77.6687736,ORR East 1,Bellandur,vehicle_breakdown,1,High
12.9546127,77.6423399,IRR(Thanisandra road),Jeevanbheemanagar,congestion,1,High
12.936133,77.5187044,Mysore Road,Byatarayanapura,vehicle_breakdown,1,High
12.9694079,77.7006346,ORR East 2,HAL Old Airport,construction,0,High
12.9849833,77.5883633,Bellary Road 1,High ground,vehicle_breakdown,1,High
13.0127301,77.5545135,West of Chord Road,Malleshwaram,vehicle_breakdown,1,High
12.9842019,77.7336286,Non-corridor,Whitefield,road_conditions,0,Low
13.2644465,77.7187627,Non-corridor,Devanahalli Airport,vehicle_breakdown,1,Low
12.9848257,77.7527586,Non-corridor,Mahadevapura,vehicle_breakdown,1,Low
12.9932986,77.5837571,Bellary Road 1,High ground,tree_fall,0,High
12.9937523,77.5842482,Bellary Road 1,High ground,tree_fall,0,High
12.9938868,77.5841876,Bellary Road 1,High ground,tree_fall,0,High
12.9368467,77.6928653,ORR East 1,HAL Old Airport,vehicle_breakdown,1,High
13.0126766,77.5581246,Non-corridor,Malleshwaram,tree_fall,0,Low
12.9513113,77.4994888,Non-corridor,Jnanabharathi,vehicle_breakdown,1,Low
13.0160964,77.5068555,Non-corridor,Peenya,vehicle_breakdown,1,Low
12.9807501,77.6028238,CBD 1,Shivajinagar,pot_holes,0,High
12.9165983,77.583705,Non-corridor,J.P. Nagar,tree_fall,0,Low
13.0198619,77.6562235,,Hennuru,pot_holes,0,High
13.0191848,77.6555127,ORR North 1,Hennuru,pot_holes,0,High
12.9740913,77.5452252,West of Chord Road,Vijayanagara,vehicle_breakdown,1,High
12.9740971,77.5449011,West of Chord Road,Vijayanagara,vehicle_breakdown,1,High
12.9688926,77.569795,Non-corridor,Chamarajpet,vehicle_breakdown,1,Low
12.9838737,77.5286068,Magadi Road,Kamakshipalya,pot_holes,0,High
12.9595586,77.5162093,Non-corridor,Byatarayanapura,others,1,Low
12.9511354,77.5739687,Non-corridor,V.V.Puram (C.Pet),vehicle_breakdown,1,Low
13.0192138,77.5395595,Non-corridor,Rajajinagar,vehicle_breakdown,1,Low
